Random seed set to: 456

Demands:
D(m1, t=1, ('l1', 'k1')) = 28.7
D(m4, t=1, ('l1', 'k1')) = 32.9
D(m4, t=1, ('l1', 'k2')) = 26.8
D(m4, t=1, ('l1', 'k3')) = 30.0
D(m4, t=1, ('l1', 'k4')) = 29.1
D(m4, t=1, ('l1', 'k5')) = 38.0
D(m4, t=1, ('l2', 'k1')) = 26.3
D(m4, t=1, ('l2', 'k2')) = 32.2
D(m4, t=1, ('l2', 'k3')) = 37.6
D(m4, t=1, ('l2', 'k4')) = 32.6
D(m4, t=1, ('l2', 'k5')) = 25.7
D(m4, t=2, ('l1', 'k1')) = 34.2
D(m4, t=2, ('l1', 'k2')) = 31.1
D(m4, t=2, ('l1', 'k3')) = 35.7
D(m4, t=2, ('l1', 'k4')) = 26.3
D(m4, t=2, ('l1', 'k5')) = 30.7
D(m4, t=2, ('l2', 'k1')) = 25.4
D(m4, t=2, ('l2', 'k2')) = 30.8
D(m4, t=2, ('l2', 'k3')) = 27.1
D(m4, t=2, ('l2', 'k4')) = 28.3
D(m4, t=2, ('l2', 'k5')) = 36.9
D(m5, t=1, ('l1', 'k1')) = 35.8
D(m5, t=1, ('l1', 'k2')) = 32.3
D(m5, t=1, ('l1', 'k3')) = 39.7
D(m5, t=1, ('l1', 'k4')) = 36.4
D(m5, t=1, ('l1', 'k5')) = 26.4
D(m5, t=1, ('l2', 'k1')) = 33.1
D(m5, t=1, ('l2', 'k2')) = 35.2
D(m5, t=1, ('l2', 'k3')) = 36.1
D(m5, t=1, ('l2', 'k4')) = 34.4
D(m5, t=1, ('l2', 'k5')) = 38.2
D(m5, t=2, ('l1', 'k1')) = 37.0
D(m5, t=2, ('l1', 'k2')) = 33.3
D(m5, t=2, ('l1', 'k3')) = 38.1
D(m5, t=2, ('l1', 'k4')) = 31.1
D(m5, t=2, ('l1', 'k5')) = 26.0
D(m5, t=2, ('l2', 'k1')) = 27.1
D(m5, t=2, ('l2', 'k2')) = 40.0
D(m5, t=2, ('l2', 'k3')) = 28.0
D(m5, t=2, ('l2', 'k4')) = 38.3
D(m5, t=2, ('l2', 'k5')) = 34.7
D(m6, t=1, ('l1', 'k1')) = 25.4
D(m6, t=1, ('l1', 'k2')) = 34.6
D(m6, t=1, ('l1', 'k3')) = 38.2
D(m6, t=1, ('l1', 'k4')) = 27.5
D(m6, t=1, ('l1', 'k5')) = 28.5
D(m6, t=1, ('l2', 'k1')) = 28.9
D(m6, t=1, ('l2', 'k2')) = 29.8
D(m6, t=1, ('l2', 'k3')) = 36.3
D(m6, t=1, ('l2', 'k4')) = 26.3
D(m6, t=1, ('l2', 'k5')) = 39.9
D(m6, t=2, ('l1', 'k1')) = 27.2
D(m6, t=2, ('l1', 'k2')) = 38.1
D(m6, t=2, ('l1', 'k3')) = 25.6
D(m6, t=2, ('l1', 'k4')) = 26.7
D(m6, t=2, ('l1', 'k5')) = 29.4
D(m6, t=2, ('l2', 'k1')) = 38.5
D(m6, t=2, ('l2', 'k2')) = 38.8
D(m6, t=2, ('l2', 'k3')) = 25.3
D(m6, t=2, ('l2', 'k4')) = 36.4
D(m6, t=2, ('l2', 'k5')) = 29.7
D(m7, t=1, ('l1', 'k1')) = 31.3
D(m7, t=1, ('l1', 'k2')) = 33.5
D(m7, t=1, ('l1', 'k3')) = 35.5
D(m7, t=1, ('l1', 'k4')) = 25.5
D(m7, t=1, ('l1', 'k5')) = 25.1
D(m7, t=1, ('l2', 'k1')) = 36.2
D(m7, t=1, ('l2', 'k2')) = 39.5
D(m7, t=1, ('l2', 'k3')) = 29.4
D(m7, t=1, ('l2', 'k4')) = 39.1
D(m7, t=1, ('l2', 'k5')) = 33.9
D(m7, t=2, ('l1', 'k1')) = 27.0
D(m7, t=2, ('l1', 'k2')) = 26.3
D(m7, t=2, ('l1', 'k3')) = 34.4
D(m7, t=2, ('l1', 'k4')) = 32.6
D(m7, t=2, ('l1', 'k5')) = 32.8
D(m7, t=2, ('l2', 'k1')) = 34.4
D(m7, t=2, ('l2', 'k2')) = 28.4
D(m7, t=2, ('l2', 'k3')) = 28.9
D(m7, t=2, ('l2', 'k4')) = 33.4
D(m7, t=2, ('l2', 'k5')) = 30.9
D(m8, t=1, ('l1', 'k1')) = 35.6
D(m8, t=1, ('l1', 'k2')) = 28.2
D(m8, t=1, ('l1', 'k3')) = 29.3
D(m8, t=1, ('l1', 'k4')) = 37.7
D(m8, t=1, ('l1', 'k5')) = 31.9
D(m8, t=1, ('l2', 'k1')) = 26.1
D(m8, t=1, ('l2', 'k2')) = 37.9
D(m8, t=1, ('l2', 'k3')) = 31.3
D(m8, t=1, ('l2', 'k4')) = 32.9
D(m8, t=1, ('l2', 'k5')) = 34.8
D(m8, t=2, ('l1', 'k1')) = 30.6
D(m8, t=2, ('l1', 'k2')) = 39.8
D(m8, t=2, ('l1', 'k3')) = 29.2
D(m8, t=2, ('l1', 'k4')) = 35.2
D(m8, t=2, ('l1', 'k5')) = 33.2
D(m8, t=2, ('l2', 'k1')) = 32.9
D(m8, t=2, ('l2', 'k2')) = 25.1
D(m8, t=2, ('l2', 'k3')) = 36.4
D(m8, t=2, ('l2', 'k4')) = 28.0
D(m8, t=2, ('l2', 'k5')) = 36.1
D(m9, t=1, ('l1', 'k1')) = 26.7
D(m9, t=1, ('l1', 'k2')) = 31.7
D(m9, t=1, ('l1', 'k3')) = 29.2
D(m9, t=1, ('l1', 'k4')) = 28.2
D(m9, t=1, ('l1', 'k5')) = 30.5
D(m9, t=1, ('l2', 'k1')) = 36.9
D(m9, t=1, ('l2', 'k2')) = 26.3
D(m9, t=1, ('l2', 'k3')) = 34.9
D(m9, t=1, ('l2', 'k4')) = 28.3
D(m9, t=1, ('l2', 'k5')) = 31.9
D(m9, t=2, ('l1', 'k1')) = 34.3
D(m9, t=2, ('l1', 'k2')) = 27.4
D(m9, t=2, ('l1', 'k3')) = 38.9
D(m9, t=2, ('l1', 'k4')) = 34.8
D(m9, t=2, ('l1', 'k5')) = 33.4
D(m9, t=2, ('l2', 'k1')) = 33.0
D(m9, t=2, ('l2', 'k2')) = 36.1
D(m9, t=2, ('l2', 'k3')) = 39.1
D(m9, t=2, ('l2', 'k4')) = 29.0
D(m9, t=2, ('l2', 'k5')) = 25.8
D(m10, t=1, ('l1', 'k1')) = 27.6
D(m10, t=1, ('l1', 'k2')) = 32.4
D(m10, t=1, ('l1', 'k3')) = 35.7
D(m10, t=1, ('l1', 'k4')) = 32.8
D(m10, t=1, ('l1', 'k5')) = 28.4
D(m10, t=1, ('l2', 'k1')) = 28.5
D(m10, t=1, ('l2', 'k2')) = 39.3
D(m10, t=1, ('l2', 'k3')) = 30.0
D(m10, t=1, ('l2', 'k4')) = 35.2
D(m10, t=1, ('l2', 'k5')) = 36.0
D(m10, t=2, ('l1', 'k1')) = 30.8
D(m10, t=2, ('l1', 'k2')) = 32.9
D(m10, t=2, ('l1', 'k3')) = 26.7
D(m10, t=2, ('l1', 'k4')) = 31.8
D(m10, t=2, ('l1', 'k5')) = 25.8
D(m10, t=2, ('l2', 'k1')) = 31.0
D(m10, t=2, ('l2', 'k2')) = 38.7
D(m10, t=2, ('l2', 'k3')) = 31.8
D(m10, t=2, ('l2', 'k4')) = 26.0
D(m10, t=2, ('l2', 'k5')) = 40.0
Solving model...
Status: Optimal
Objective: 5367736.00750125

Facility openings (CSAM l1):
y[m1, 'l1'] = 0.0
y[m2, 'l1'] = 0.0
y[m3, 'l1'] = 0.0
y[m4, 'l1'] = 0.0
y[m5, 'l1'] = 1.0
y[m6, 'l1'] = 0.0
y[m7, 'l1'] = 1.0
y[m8, 'l1'] = 1.0
y[m9, 'l1'] = 0.0
y[m10, 'l1'] = 0.0

Positive flows on CSAM (l1) repair paths (only flexible l1 commodities):
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k1'): flow=10.3
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k3'): flow=39.7
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k2'): flow=50.0
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k1'): flow=4.6
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k3'): flow=19.9
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k4'): flow=25.5
Arc (m7_q_l1 -> m7_r_l1), t=2, commodity=('l1', 'k3'): flow=50.0
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k2'): flow=5.6
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k3'): flow=29.3
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k5'): flow=15.1
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k5'): flow=50.0

Positive flows on traditional (l2) repair paths:

For k=k1 at m1:
Arc (m1_q_l2 -> m1_r_l2), t=1, commodity=('l1', 'k1'): flow=28.7 (jumping if 'l1')
Arc (m1_q_l2 -> m1_r_l2), t=1, commodity=('l2', 'k1'): flow=71.3 (jumping if 'l1')
Arc (m1_q_l2 -> m1_r_l2), t=2, commodity=('l1', 'k1'): flow=31.5 (jumping if 'l1')
Arc (m1_q_l2 -> m1_r_l2), t=2, commodity=('l2', 'k1'): flow=68.5 (jumping if 'l1')

For k=k2 at m2:
Arc (m2_q_l2 -> m2_r_l2), t=1, commodity=('l2', 'k2'): flow=100.0 (jumping if 'l1')
Arc (m2_q_l2 -> m2_r_l2), t=2, commodity=('l2', 'k2'): flow=100.0 (jumping if 'l1')

For k=k3 at m3:
Arc (m3_q_l2 -> m3_r_l2), t=1, commodity=('l2', 'k3'): flow=100.0 (jumping if 'l1')
Arc (m3_q_l2 -> m3_r_l2), t=2, commodity=('l1', 'k3'): flow=26.5 (jumping if 'l1')
Arc (m3_q_l2 -> m3_r_l2), t=2, commodity=('l2', 'k3'): flow=73.5 (jumping if 'l1')

For k=k4 at m4:
Arc (m4_q_l2 -> m4_r_l2), t=1, commodity=('l2', 'k4'): flow=100.0 (jumping if 'l1')
Arc (m4_q_l2 -> m4_r_l2), t=2, commodity=('l2', 'k4'): flow=100.0 (jumping if 'l1')

For k=k5 at m5:
Arc (m5_q_l2 -> m5_r_l2), t=1, commodity=('l2', 'k5'): flow=100.0 (jumping if 'l1')
Arc (m5_q_l2 -> m5_r_l2), t=2, commodity=('l2', 'k5'): flow=100.0 (jumping if 'l1')

Positive inter-facility travel flows (in-to-in):
Arc (m1_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=38.3
Arc (m1_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=33.5
Arc (m1_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=36.4
Arc (m1_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=34.7
Arc (m1_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=27.7
Arc (m1_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=35.9
Arc (m1_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=27.3
Arc (m1_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=35.2
Arc (m2_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=27.2
Arc (m2_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=27.8
Arc (m2_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=37.9
Arc (m2_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=34.4
Arc (m2_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=28.0
Arc (m2_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=30.3
Arc (m2_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=27.0
Arc (m2_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=35.9
Arc (m3_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=33.9
Arc (m3_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=34.1
Arc (m3_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=25.6
Arc (m3_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=39.5
Arc (m3_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=30.5
Arc (m3_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=39.6
Arc (m3_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=36.9
Arc (m3_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=32.8
Arc (m4_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=26.3
Arc (m4_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=25.4
Arc (m4_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=32.2
Arc (m4_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=30.8
Arc (m4_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=37.6
Arc (m4_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=27.1
Arc (m4_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=25.7
Arc (m4_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=36.9
Arc (m5_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=33.1
Arc (m5_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=27.1
Arc (m5_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=35.2
Arc (m5_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=40.0
Arc (m5_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=36.1
Arc (m5_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=28.0
Arc (m5_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=34.4
Arc (m5_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=38.3
Arc (m6_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=28.9
Arc (m6_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=38.5
Arc (m6_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=29.8
Arc (m6_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=38.8
Arc (m6_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=36.3
Arc (m6_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=25.3
Arc (m6_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=26.3
Arc (m6_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=36.4
Arc (m6_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=39.9
Arc (m6_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=29.7
Arc (m7_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=36.2
Arc (m7_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=34.4
Arc (m7_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=39.5
Arc (m7_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=28.4
Arc (m7_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=29.4
Arc (m7_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=28.9
Arc (m7_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=39.1
Arc (m7_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=33.4
Arc (m7_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=33.9
Arc (m7_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=30.9
Arc (m8_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=26.1
Arc (m8_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=32.9
Arc (m8_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=37.9
Arc (m8_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=25.1
Arc (m8_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=31.3
Arc (m8_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=36.4
Arc (m8_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=32.9
Arc (m8_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=28.0
Arc (m8_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=34.8
Arc (m8_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=36.1
Arc (m9_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=36.9
Arc (m9_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=33.0
Arc (m9_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=26.3
Arc (m9_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=36.1
Arc (m9_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=34.9
Arc (m9_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=39.1
Arc (m9_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=28.3
Arc (m9_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=29.0
Arc (m9_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=31.9
Arc (m9_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=25.8
Arc (m10_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=28.5
Arc (m10_in -> m1_in), t=2, commodity=('l2', 'k1'): flow=31.0
Arc (m10_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=39.3
Arc (m10_in -> m2_in), t=2, commodity=('l2', 'k2'): flow=38.7
Arc (m10_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=30.0
Arc (m10_in -> m3_in), t=2, commodity=('l2', 'k3'): flow=31.8
Arc (m10_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=35.2
Arc (m10_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=26.0
Arc (m10_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=36.0
Arc (m10_in -> m5_in), t=2, commodity=('l2', 'k5'): flow=40.0

Positive flows on dummy arcs (unmet demand in t=2):
Arc (m1_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=58.2
Arc (m1_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=70.4
Arc (m1_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=64.3
Arc (m1_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=69.7
Arc (m1_q_l2 -> dummy), t=2, commodity=('l2', 'k1'): flow=487.7
Arc (m2_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=55.9
Arc (m2_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=66.4
Arc (m2_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=66.5
Arc (m2_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=58.1
Arc (m2_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=61.9
Arc (m2_q_l2 -> dummy), t=2, commodity=('l2', 'k2'): flow=477.5
Arc (m3_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=58.5
Arc (m3_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=71.3
Arc (m3_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=27.3
Arc (m3_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=65.4
Arc (m3_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=65.0
Arc (m3_q_l2 -> dummy), t=2, commodity=('l2', 'k3'): flow=492.2
Arc (m4_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=67.1
Arc (m4_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=57.9
Arc (m4_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=65.7
Arc (m4_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=55.4
Arc (m4_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=68.8
Arc (m4_q_l2 -> dummy), t=2, commodity=('l2', 'k4'): flow=440.5
Arc (m5_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=62.5
Arc (m5_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=15.6
Arc (m5_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=38.1
Arc (m5_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=67.6
Arc (m5_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=52.4
Arc (m5_q_l2 -> dummy), t=2, commodity=('l2', 'k5'): flow=469.6
Arc (m6_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=52.7
Arc (m6_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=72.7
Arc (m6_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=63.7
Arc (m6_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=54.2
Arc (m6_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=57.9
Arc (m7_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=53.7
Arc (m7_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=59.8
Arc (m7_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=32.6
Arc (m7_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=58.0
Arc (m8_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=66.2
Arc (m8_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=62.4
Arc (m8_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=29.2
Arc (m8_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=72.9
Arc (m9_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=61.0
Arc (m9_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=59.1
Arc (m9_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=68.1
Arc (m9_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=62.9
Arc (m9_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=63.9
Arc (m10_q_l1 -> dummy), t=2, commodity=('l1', 'k1'): flow=58.3
Arc (m10_q_l1 -> dummy), t=2, commodity=('l1', 'k2'): flow=65.4
Arc (m10_q_l1 -> dummy), t=2, commodity=('l1', 'k3'): flow=62.4
Arc (m10_q_l1 -> dummy), t=2, commodity=('l1', 'k4'): flow=64.6
Arc (m10_q_l1 -> dummy), t=2, commodity=('l1', 'k5'): flow=54.1

Positive in-to-q flows (queue entries):
Arc (m1_in -> m1_q_l1), t=1, commodity=('l1', 'k2'): flow=27.4
Arc (m1_in -> m1_q_l1), t=1, commodity=('l1', 'k3'): flow=36.8
Arc (m1_in -> m1_q_l1), t=1, commodity=('l1', 'k4'): flow=37.1
Arc (m1_in -> m1_q_l1), t=1, commodity=('l1', 'k5'): flow=34.4
Arc (m1_in -> m1_q_l1), t=2, commodity=('l1', 'k2'): flow=30.8
Arc (m1_in -> m1_q_l1), t=2, commodity=('l1', 'k3'): flow=33.6
Arc (m1_in -> m1_q_l1), t=2, commodity=('l1', 'k4'): flow=27.2
Arc (m1_in -> m1_q_l1), t=2, commodity=('l1', 'k5'): flow=35.3
Arc (m1_in -> m1_q_l2), t=1, commodity=('l1', 'k1'): flow=28.7
Arc (m1_in -> m1_q_l2), t=1, commodity=('l2', 'k1'): flow=311.2
Arc (m1_in -> m1_q_l2), t=2, commodity=('l1', 'k1'): flow=31.5
Arc (m1_in -> m1_q_l2), t=2, commodity=('l2', 'k1'): flow=316.3
Arc (m2_in -> m2_q_l1), t=1, commodity=('l1', 'k1'): flow=27.7
Arc (m2_in -> m2_q_l1), t=1, commodity=('l1', 'k2'): flow=26.8
Arc (m2_in -> m2_q_l1), t=1, commodity=('l1', 'k3'): flow=28.6
Arc (m2_in -> m2_q_l1), t=1, commodity=('l1', 'k4'): flow=25.1
Arc (m2_in -> m2_q_l1), t=1, commodity=('l1', 'k5'): flow=30.4
Arc (m2_in -> m2_q_l1), t=2, commodity=('l1', 'k1'): flow=28.2
Arc (m2_in -> m2_q_l1), t=2, commodity=('l1', 'k2'): flow=39.6
Arc (m2_in -> m2_q_l1), t=2, commodity=('l1', 'k3'): flow=37.9
Arc (m2_in -> m2_q_l1), t=2, commodity=('l1', 'k4'): flow=33.0
Arc (m2_in -> m2_q_l1), t=2, commodity=('l1', 'k5'): flow=31.5
Arc (m2_in -> m2_q_l2), t=1, commodity=('l2', 'k2'): flow=337.3
Arc (m2_in -> m2_q_l2), t=2, commodity=('l2', 'k2'): flow=340.2
Arc (m3_in -> m3_q_l1), t=1, commodity=('l1', 'k1'): flow=33.4
Arc (m3_in -> m3_q_l1), t=1, commodity=('l1', 'k2'): flow=39.1
Arc (m3_in -> m3_q_l1), t=1, commodity=('l1', 'k3'): flow=27.3
Arc (m3_in -> m3_q_l1), t=1, commodity=('l1', 'k4'): flow=38.4
Arc (m3_in -> m3_q_l1), t=1, commodity=('l1', 'k5'): flow=27.7
